Nick,Message,Timestamp
stevebeck2014,evenin'. series name and episode please,2019-01-22 20:47:12
spectatorlo_ol,mr mate,2019-01-22 20:47:13
bigbadbull2000,:d i've noticed how the 5th doctor and one of his companions are always split with another companion(s).,2019-01-22 20:47:13
dyveklykan,reveal coming up.,2019-01-22 20:47:19
diethy,black leather,2019-01-22 20:47:19
xhodocto385,wetsuits,2019-01-22 20:47:35
potassionite,oh boy,2019-01-22 20:47:38
luduvir,bep bep,2019-01-22 20:47:39
anesthesiacat,bleep bloop,2019-01-22 20:47:39
xhodocto385,space,2019-01-22 20:47:48
mosborg,:p,2019-01-22 20:47:49
vivtheimplier,a space ship,2019-01-22 20:47:49
doomcoalition,"""look at the screen... we're not on a yacht, we're on a ship- a spaceship.""",2019-01-22 20:47:50
potassionite,space,2019-01-22 20:47:51
jive_turkey1999,this cliffhanger!,2019-01-22 20:47:51
johnniles,and.... cut.,2019-01-22 20:47:53
comanderskittles,gaming keybord,2019-01-22 20:47:53
lockark,spaaaaaaaaaaace,2019-01-22 20:47:53
zenarcher73,"engage the improbability drive, trillion",2019-01-22 20:47:53
nepixz,space the final frontier,2019-01-22 20:47:54
potassionite,welcome to treasure island,2019-01-22 20:47:57
cookiemonster523,looooooool,2019-01-22 20:47:58
stgfloydfreak,:d,2019-01-22 20:47:58
tehepicjack,mmmmmmm love it,2019-01-22 20:47:58
longlivethee2s,literally,2019-01-22 20:47:59
strawberryrosegarden,space ship :d,2019-01-22 20:47:59
cupoftea0,"ship, space ship",2019-01-22 20:48:00
bigbadbull2000,amazing!!!!,2019-01-22 20:48:00
0uchthathurt,ship hanger,2019-01-22 20:48:00
anesthesiacat,in space,2019-01-22 20:48:00
scrap104,in space,2019-01-22 20:48:01
mitsukara,"space ships, i approve",2019-01-22 20:48:01
elios000,:),2019-01-22 20:48:01
drakooooon,:),2019-01-22 20:48:01
terry_cooper,see what he did there?,2019-01-22 20:48:02
spectatorlo_ol,:p space pirates,2019-01-22 20:48:02
cjmac_,worst cliff hanger ever,2019-01-22 20:48:02
hekutorumac,spelljammer,2019-01-22 20:48:03
scotchcraft,"you know, catching the space wind. solar wind i guess? maybe?",2019-01-22 20:48:04
